"id","slug","scheme_name","description","states","level","scheme_for","close_date","tags","created_at"
172,"cvyb","Chai Vikas Yojana","The scheme aims to offer subsidies for planting materials, horticultural machinery, and related resources to support tea farmers.

","[""Bihar""]","State","Individual","None","[""Agriculture"", ""Subsidy"", ""Seed Supply"", ""Financial Assistance"", ""Tea Development""]","2026-03-11 22:53:49.997096+05:30"
173,"mnny","Mukhyamantri Nijee Nalkup Yojana","The scheme provides financial assistance to support farmers in ensuring water availability through borewell construction and motor pump installation.
","[""Bihar""]","State","Individual","None","[""Agriculture"", ""Irrigation"", ""Borewell"", ""Farmer""]","2026-03-11 22:53:49.997108+05:30"
174,"ksyg","Kisan Suryoday Yojana (KSY)","""Kisan Suryoday Yojana (KSY)"" is a Gujarat government initiative launched in 2020-2021 to provide daytime electricity for agricultural activities, utilizing solar and non-conventional energy.

","[""Gujarat""]","State","Individual","None","[""Agricultural"", ""Electricity Supply"", ""Farmer"", ""Renewable Energy"", ""Irrigation""]","2026-03-11 22:53:49.997111+05:30"
175,"cogfgs","Construction of Godown for Grain Storage","Launched on 24th December 2013, the scheme ""Construction of Warehouse for Grain Storage"" by the Panchayat and Rural Development Department, Government of Madhya Pradesh aims to provide modern and scientific food grain storage facilities under Food Security Act 13 to applicants in rural areas.","[""Madhya Pradesh""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Food Security"", ""Godown"", ""Storage""]","2026-03-11 22:53:49.997114+05:30"
176,"aabssobpmbos","Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bull on Subsidy)","""Advanced Animal Breeding Scheme (Supply of Breedable Pedigree Murrah Bulls on Subsidy)"" aims to improve cattle breeding by supplying pedigreed breedable Murrah bulls to progressive cattle rearers and trained cow servants. Murrah bulls are provided with a 75% subsidy to animal keepers.","[""Madhya Pradesh""]","State","Individual","None","[""Animal"", ""Subsidy"", ""Cow"", ""Breed""]","2026-03-11 22:53:49.997115+05:30"
177,"sfsomgosb","Scheme for Supply of Male Goat on Subsidy Basis","""Male Goat Supply Scheme on Grant Basis"" aims to improve the breed of indigenous/local goats throughout the state. Through this scheme, one male goat of an improved breed (Jamnapari, Barbari, or Sirohi Bakra) is provided to goat farmers of all categories on a grant basis.","[""Madhya Pradesh""]","State","Individual","None","[""Animal"", ""Goat"", ""Insurance"", ""Financial Assistance"", ""Subsidy""]","2026-03-11 22:53:49.997117+05:30"
178,"ksyj","Kisan Samriddhi Yojana Jharkhand","The ""Kisan Samriddhi Yojana"" by the Department of Agriculture, Animal Husbandry & Cooperative, Government of Jharkhand, promotes solar-powered irrigation systems to reduce agricultural costs and dependency on fossil fuels. Farmers receive up to 90% subsidy for solar units under this initiative.","[""Jharkhand""]","State","Individual","None","[""Farmers"", ""Subsidy"", ""Solar Units"", ""Self-help Group""]","2026-03-11 22:53:49.997119+05:30"
179,"nai","National Agriculture Insurance Scheme","The National Agriculture Insurance Scheme (NAIS) was introduced by the Government of India to provide comprehensive insurance coverage and financial support to farmers against crop losses due to natural calamities, pests, and diseases.","[""All""]","Central","Individual","None","[""Farmers"", ""Crop Insurance"", ""Agriculture Subsidy"", ""Natural Disaster Coverage""]","2026-03-11 22:53:49.997121+05:30"
180,"rpcs","Rearing Pond Construction Scheme","The ""Rearing Pond Construction Scheme"" by the Department of Agriculture, Animal Husbandry, and Cooperation, Government of Jharkhand, aims to promote fish farming by providing financial aid for constructing rearing ponds. Beneficiaries receive up to 80% government assistance for Scheduled Castes (SC)","[""Jharkhand""]","State","Individual","None","[""Financial Assistance"", ""Pond"", ""Construction"", ""Scheduled Castes"", ""Scheduled Tribes""]","2026-03-11 22:53:49.997124+05:30"
181,"ppsj","Paddy Procurement Scheme Jharkhand","The ""Paddy Procurement Scheme"" 2012-13"" by the Food, Public Distribution, and Consumer Affairs Department, Government of Jharkhand, ensures that farmers receive minimum support price for paddy procurement, preventing distress sales and supporting food security.","[""Jharkhand""]","State","Individual","None","[""Farmers"", ""Food Security"", ""Fair Compensation""]","2026-03-11 22:53:49.997126+05:30"
182,"caicoloabfabfa","Compensation Amount Towards Cattle Injury Caused by Forest Animals","Launched on 6th February 2024, the scheme ""Compensation Amount towards Cattle Injury Caused by Forest Animals"" by the Forest Department, Government of Madhya Pradesh, provides compensation in case of death of cattle due to attacks by wild animals.","[""Madhya Pradesh""]","State","Individual","None","[""Animal"", ""Forest"", ""Financial Assistance"", ""Death"", ""Compensation"", ""Injury"", ""Cattle""]","2026-03-11 22:53:51.286588+05:30"
183,"ksas","Kharmore Sonchidia Award Scheme","In the scheme ""Kharmore Sonchidia Award"" by the Forest Department, Government of Madhya Pradesh, the farmers are rewarded with ₹5,000/- if a Kharmor bird is sighted in the private land of the farmer and ₹10,000/- if a Golden bird is sighted in the private land of the farmer.","[""Madhya Pradesh""]","State","Individual","None","[""Award"", ""Bird"", ""Farmer"", ""Financial Assistance""]","2026-03-11 22:53:51.2866+05:30"
184,"pmsch","Pashudhan Mitra Scheme","Launched on 20th June 2013, the scheme ""Pashudhan Mitra Scheme1"" by the Animal Husbandry Department, Govt of Chhattisgarh, aims to expand veterinary and breeding services, strengthen service delivery, and provide incentive honorariums to Pashudhan Mitras for livelihood support.","[""Chhattisgarh""]","State","Individual","None","[""Animal"", ""Agriculture"", ""Breeding"", ""Husbandry"", ""Cattle""]","2026-03-11 22:53:51.286603+05:30"
185,"wfafcp","Wire Fencing Around the Farm for Crop Protection","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to protect farmers' crops from damage caused by wild and stray animals by providing financial assistance for wire fencing around farms.

","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Farmers Group"", ""Crop Protection"", ""Wire Fencing""]","2026-03-11 22:53:51.286605+05:30"
186,"afphfe","Assistance to Farmers to Purchase Heavy Farm Equipment (Tractor)","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing tractors, promoting farm mechanization and increasing farm power availability.
","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Heavy Farm Equipment"", ""Tractor""]","2026-03-11 22:53:51.286607+05:30"
187,"cdsg","Coconut Development Scheme","The ""Coconut Development Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to support farmers by providing quality coconut saplings and financial assistance for coconut cultivation. ","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Coconut Saplings Distribution""]","2026-03-11 22:53:51.286609+05:30"
188,"iaifcpb","Incentive to Owners of A.I. Born Female Calf through Pure Breeding in Indigenous Cow Across the State","The scheme aims to support livestock owners in maintaining and increasing the population of indigenous cattle breeds like Gir and Kankrej.","[""Gujarat""]","State","Individual","None","[""Animal Husbandry"", ""Artificial Insemination"", ""Female Calf Breeding""]","2026-03-11 22:53:51.286611+05:30"
189,"bpuk","Bakri Palan Yojana","The scheme aims to promote goat rearing as a source of self-employment and livelihood generation for eligible beneficiaries, particularly from SECC categories, by providing financial support for rearing a goat unit. ","[""Uttarakhand""]","State","Individual","None","[""Goat Rearing"", ""SECC"", ""Self-Employment"", ""Scheduled Caste"", ""Scheduled Tribe"", ""Subsidy""]","2026-03-11 22:53:51.286613+05:30"
190,"ciad","Compensation in Animal Death","The ""Compensation in Animal Death"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, provides financial assistance to animal breeders who suffer livestock losses due to natural disasters, diseases, or poisoning.

","[""Gujarat""]","State","Individual","None","[""Animal Husbandry"", ""Animal Insurance"", ""Death Compensation""]","2026-03-11 22:53:51.286615+05:30"
191,"sofmg","Supply of Fodder Minikit","The ""Supply of Fodder Minikit"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide improved varieties of fodder seeds to farmers.","[""Gujarat""]","State","Individual","None","[""Animal Husbandry"", ""Fodder Minikit""]","2026-03-11 22:53:51.286617+05:30"
192,"afcgwtb","Assistance for Cattleshed, Gaman, Water Tank and Bucket","The scheme ""Assistance for Cattleshed, Gaman, Water Tank and Bucket"" introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat, aims to support livestock farmers by offering financial assistance for essential infrastructure such as cattle sheds, gaman, water tanks, and buckets.","[""Gujarat""]","State","Individual","None","[""Animal Husbandry"", ""Cattleshed"", ""Water Tank"", ""Shelter For Cattle""]","2026-03-11 22:53:52.711016+05:30"
193,"sskpf","Subsidy Scheme on Establishment of 25 R.I.R./Kadaknath & 1000 Broiler Bird’s Unit and Stipend for Poultry Farming Training for Scheduled Tribes People of the State","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance and training stipends to Scheduled Tribe (ST) individuals in Gujarat for poultry farming.

","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Poultry Farming"", ""Birds Unit"", ""Poultry Farming""]","2026-03-11 22:53:52.711026+05:30"
194,"acfapst","Assistance of Concentrate Feed After Parturition (Scheduled Tribe Category)","The scheme ""Assistance of Concentrate Feed After Parturition (Scheduled Tribe Category)"" provides 150 kg of BIS Type II concentrate feed to Scheduled Tribe Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development.

","[""Gujarat""]","State","Individual","None","[""Animal Husbandry"", ""Cattle Development"", ""Milk Production"", ""Concentrate Feeds""]","2026-03-11 22:53:52.711029+05:30"
195,"acfpasc","Assistance of Concentrate Feed for Pregnant Animals (Scheduled Caste Category)","This scheme provides free BIS type II concentrate feed to pregnant cattle owned by Scheduled Caste Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production.

","[""Gujarat""]","State","Individual","None","[""Animal Husbandry"", ""Pregnant Cattle"", ""Milk Production""]","2026-03-11 22:53:52.711031+05:30"
196,"fafiskc","COP-34 Financial Assistance to Farmer for Interest Subvention (Kishan Credit Card Interest Asst.)","Under this scheme, financial assistance in the form of interest subvention is provided to farmers who repay their crop loans on time, helping them improve their agricultural productivity and economic well-being.

","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Farmer"", ""Interest Subvention""]","2026-03-11 22:53:52.711033+05:30"
197,"tpahkcc","To Provide Interest Subvention to Animal Husbandry of the State at the Rate of 4% to the Beneficiaries Kisan Credit Card","The scheme aims to provide 4% interest subvention to cattle breeders in Gujarat on timely repayment of short-term loans taken through the Kisan Credit Card for animal husbandry activities.

","[""Gujarat""]","State","Individual","None","[""Agriculture"", ""Animal Husbandry"", ""Cattle Breeders"", ""Interest Subvention""]","2026-03-11 22:53:52.711035+05:30"
198,"anmpy","Atma Nirbhar Matsya Palan Yojana","The scheme aims to provide a 45% subsidy with credit linkage for fishery infrastructure to ST individuals, SHGs, and FPOs engaged in aquaculture.","[""Arunachal Pradesh""]","State","Individual","None","[""Subsidy"", ""Farmers"", ""Scheduled Tribe"", ""Self Help Groups"", ""FPO"", ""Loan""]","2026-03-11 22:53:52.711037+05:30"
199,"pplcnpsaahr","PMMSY: Provision of Polythene lining for the Construction of New ponds for Saline/Alkaline area-Haryana","The scheme aims to provide central assistance for the cost of polythene lining for new ponds in saline/alkaline areas. Through this scheme, polythene lining costs are provided to beneficiaries constructing new water bodies for fish/shrimp culture.","[""Haryana""]","State","Individual","None","[""Polythene"", ""New Ponds"", ""Fish"", ""Shrimp"", ""Saline"", ""Alkaline""]","2026-03-11 22:53:52.711038+05:30"
200,"pmmsycrmhr","PMMSY: Construction of Fish Retail Markets including Ornamental Fish/Aquarium Markets - Haryana","The scheme aims to support the construction of fish retail markets, including those for ornamental fish and aquariums. Through this scheme, financial assistance for project costs is provided to individual beneficiaries.","[""Haryana""]","State","Individual","None","[""Retail"", ""Market"", ""Ornamental"", ""Aquarium"", ""Financial Assistance""]","2026-03-11 22:53:52.711041+05:30"
201,"cwibhr","PMMSY: Cycle with Ice Boxes-Haryana","The scheme aims to provide central assistance for the cost of cycles with ice boxes for fisheries activities. Through this scheme, central assistance is provided for newly purchased cycles with ice boxes for the initial crop.","[""Haryana""]","State","Individual","None","[""Subsidy"", ""Purchase"", ""Initial Crop"", ""Fish""]","2026-03-11 22:53:52.711042+05:30"
202,"cnrphr","PMMSY: Construction of New Rearing ponds - Haryana","The scheme aims to expand fisheries in various urban/semi-urban areas. Through this scheme, financial assistance and subsidies are provided for the construction of new rearing ponds.","[""Haryana""]","State","Individual","None","[""Subsidy"", ""Ponds"", ""Nursery"", ""Seed""]","2026-03-11 22:53:54.051311+05:30"
203,"twibierfv","Pradhan Mantri Matsya Sampada Yojana: Three Wheeler with Ice Box Including E-rickshaws for Fish Vending - Haryana","The scheme aims to promote hygienic and efficient fish transportation and retailing through mobile outlets. Under this scheme, financial assistance is provided to eligible beneficiaries for purchasing e-rickshaws equipped with ice boxes for selling fish directly.","[""Haryana""]","State","Individual","None","[""Subsidy"", ""Fish"", ""Fishries"", ""Three Wheeler"", ""Ice Box""]","2026-03-11 22:53:54.051321+05:30"
204,"ostps-atisis","""Orthodox or Specialty Tea Production Subsidy"" under the ""Assam Tea Industries Special Incentives Scheme""","The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.","[""Assam""]","State","Individual","None","[""Subsidy"", ""Tea"", ""Production"", ""Incentive"", ""Industry""]","2026-03-11 22:53:54.051324+05:30"
205,"spspwdpf","Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training","The ""Scheme to Provide Stipend to the Persons With Disabilities of the State for Poultry Training"" aims to promote poultry rearing skills among persons with disabilities through a ₹2,000/- stipend for attending a 7-day training program conducted by the Intensive Poultry Development Unit.","[""Gujarat""]","State","Individual","None","[""Poultry Training"", ""Disability Empowerment"", ""Skill Development"", ""Animal Husbandry"", ""Stipend""]","2026-03-11 22:53:54.051326+05:30"
206,"pmmsyesrguj","Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Establishment of Small RAS Culture System Gujarat","The scheme aims to boost inland fish production and create employment. It provides financial support for setting up Small RAS units for eligible beneficiaries.","[""Gujarat""]","State","Individual","None","[""Fish Farming"", ""Small RAS"", ""Biofloc"", ""Recirculating Aquaculture System""]","2026-03-11 22:53:54.051328+05:30"
207,"pmmsyenfwhguj","Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Establishment of New Fresh Water Fin Fish Hatchery - Gujarat","The scheme aims to increase fish production by rearing fish in reservoirs and provide employment to people involved in inland fisheries activities.","[""Gujarat""]","State","Individual","None","[""Fish Farming"", ""Biofloc"", ""Recirculating Aquaculture System"", ""Fish Hatchery""]","2026-03-11 22:53:54.05133+05:30"
208,"sostupm-atisis","""Subsidy for Orthodox & Speciality Tea Unit for Plant & Machinery"" under the ""Assam Tea Industries Special Incentives Scheme""","The scheme aims to ensure long-term financial sustainability of the Tea industry and to incentivize manufacturers to move from Crush, Tear, Curl tea to Orthodox tea production. The scheme is implemented by the Finance Department and the Industries & Commerce Department, Government of Assam.","[""Assam""]","State","Individual","None","[""Subsidy"", ""Tea"", ""Production"", ""Incentive"", ""Industry"", ""Machinery""]","2026-03-11 22:53:54.051332+05:30"
209,"stisrr","Scheme to Increase Seed Replacement Rate (SRR)","The ""Scheme to Increase Seed Replacement Rate (SRR)"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to improve crop productivity through providing certified seeds at subsidized rates to all farmers across the state.

","[""Gujarat""]","State","Individual","None","[""Seed Distribution"", ""Seed Replacement Rate"", ""Subsidy"", ""Certified Seeds""]","2026-03-11 22:53:54.051334+05:30"
210,"pofusop","Promotion of Organic Farming under State Organic Policy","The scheme ""Promotion of Organic Farming under State Organic Policy"" by the Agriculture and Co-operation Department, Government of Gujarat, aims to promote organic agriculture by providing financial assistance for certification, transportation, and organic inputs to farmers across the state.

","[""Gujarat""]","State","Individual","None","[""Organic Farming"", ""Certification Assistance"", ""Organic Input Subsidy"", ""Farmer""]","2026-03-11 22:53:54.051336+05:30"
211,"afmtptfm","Assistance to Farmers for Mini Tractor and Power Tiller in Farm Mechanization Program","The scheme “Assistance to Farmers for Mini Tractor and Power Tiller in Farm Mechanization Program”  aims to support mechanization in agriculture through financial aid for the purchase of mini tractors and power tillers to all eligible farmers across the state.","[""Gujarat""]","State","Individual","None","[""Agricultural"", ""Farm Mechanization"", ""Subsidy"", ""Mini Tractor"", ""Power Tiller""]","2026-03-11 22:53:54.051337+05:30"
212,"ascftsctguj","Assistance to Scheduled Castes for Fisheries: Training of Scheduled Caste trainees Gujarat","The scheme aims to increase fish production and provide employment opportunities to Scheduled Caste (SC) people engaged in inland fisheries activities.","[""Gujarat""]","State","Individual","None","[""Fish Production"", ""Fish Farming"", ""Fishermen"", ""Fish Farmer"", ""Training Of Scheduled Caste Trainees""]","2026-03-11 22:53:55.374625+05:30"
213,"nmoepmicio","National Mission on Edible Oil–Oil Palm: Maintenance and Input Cost for Intercropping in Oilpalm","The scheme component ""Maintenance and Input Cost for Intercropping in Oilpalm"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm and reduce imports by providing financial assistance for maintenance and intercropping.","[""Gujarat""]","State","Individual","None","[""Edible Oil"", ""Oil Palm"", ""Intercropping Assistance"", ""Maintenance Support"", ""Subsidy""]","2026-03-11 22:53:55.374641+05:30"
214,"pmmsyeoscguj","PMMSY: Establishment of open Sea cages (100-120)m3 vol. - Gujarat ","The scheme aims to support the installation of open sea cages of 100–120 cubic meter capacity for fish farming in marine waters. This helps fishermen and entrepreneurs to undertake cage-based aquaculture, thereby increasing fish production, ensuring sustainable marine resource utilization.","[""Gujarat""]","State","Individual","None","[""Construction Of Plant"", ""Storage"", ""Fishermen"", ""Fish Seller""]","2026-03-11 22:53:55.374646+05:30"
215,"pmmsymcsipguj","PMMSY : Modernization of Cold storage /Ice Plant - Gujarat ","The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for the modernisation of Cold storage /Ice Plant.","[""Gujarat""]","State","Individual","None","[""Construction Of Plant"", ""Storage"", ""Fishermen"", ""Fish Sellers"", ""Modernization Of Cold Storage"", ""Ice Plant""]","2026-03-11 22:53:55.37465+05:30"
216,"pmmsyebtmfvguj","PMMSY:  Establishment of Bio-toilets in mechanised fishing vessels - Gujarat","The scheme aims to provide sanitation facilities on mechanised fishing vessels. It provides financial assistance depending on category, with once-in-a-lifetime eligibility.","[""Gujarat""]","State","Individual","None","[""Construction Of Plant"", ""Storage"", ""Fishermen"", ""Fish Sellers""]","2026-03-11 22:53:55.374655+05:30"
217,"shc","Soil Health Card Scheme - Uttarakhand","The scheme aims to provide Soil Health Cards to all farmers in the state, helping them understand the nutrient composition of their soil and the type and quantity of fertilizers suitable for their crops.","[""Uttarakhand""]","State","Individual","None","[""Farmer"", ""Soil Health"", ""Agriculture"", ""Soil Testing""]","2026-03-11 22:53:55.374659+05:30"
218,"f-ss","Kisan-Vaigyanik Sangoshthi","The scheme aims to guide farmers and youth in biotechnology-based farming and animal husbandry by providing technical training and solutions to enhance self-employment and income generation.","[""Uttarakhand""]","State","Individual","None","[""Farmer"", ""Scientist"", ""Self-help Group"", ""Seminar"", ""Training"", ""Youth"", ""Biotechnology""]","2026-03-11 22:53:55.374663+05:30"
219,"cfllcbwa","Compensation for Livestock Loss Caused by Wild Animals","The scheme aims to provide financial relief to livestock owners for losses due to wild animal attacks.","[""Madhya Pradesh""]","State","Individual","None","[""Financial Assistance"", ""Wild Animal"", ""Relief"", ""Livestock""]","2026-03-11 22:53:55.374667+05:30"
220,"mmdpp","Mukhyamantri Dairy Plus Programme (Provision of 02 Murrah Buffaloes on Subsidy)","The scheme aims to increase milk production and promote improved livestock breeding by providing two Murrah buffaloes to eligible farmers on a subsidy basis.","[""Madhya Pradesh""]","State","Individual","None","[""Subsidy"", ""Farmer"", ""Buffaloes"", ""Livestock"", ""Farmer""]","2026-03-11 22:53:55.374671+05:30"
221,"dbaky","Dr. Bhimrao Ambedkar Kamdhenu Yojana","The scheme aims to provide business opportunities in the dairy sector especially to unemployed youths, increase milk production, strengthen economic condition and farmers will get economic benefits even in adverse circumstances.","[""Madhya Pradesh""]","State","Individual","None","[""Business"", ""Loan"", ""Youth"", ""Farmer"", ""Dairy"", ""Unemployed""]","2026-03-11 22:53:55.374676+05:30"
222,"gspevcsg","Grant of Subsidy for Purchase of 'Electric Vehicles' to Consumers in State of Goa","The scheme provides financial assistance in the form of a subsidy for the purchase or conversion of Electric two-wheelers, three-wheelers, and four-wheelers, along with scrapping incentives for old vehicles, incentives for local manufacturing in Goa, and low-cost loans provided by CESL.","[""Goa""]","State","Individual","None","[""Subsidy"", ""Vehicle"", ""Consumer"", ""Incentive"", ""Transport""]","2026-03-11 22:53:56.71552+05:30"
223,"fdd","Flower Development (Demonstration)","The scheme aims to promote flower cultivation through demonstrations of major flowers like rose, tuberose, and marigold by providing financial assistance to farmers.","[""Madhya Pradesh""]","State","Individual","None","[""Flower Development"", ""Horticulture"", ""Floriculture"", ""Farmer""]","2026-03-11 22:53:56.715532+05:30"
224,"sdpuk","Skill Development Programme- Uttarakhand","The scheme aims to enhance the employability and entrepreneurial skills of students, researchers, and farmers in the field of biotechnology, thereby promoting self-employment and entrepreneurship in emerging areas of the biotechnology sector.","[""Uttarakhand""]","State","Individual","None","[""Skill Development"", ""Training Program"", ""Biotechnology"", ""Student"", ""Researcher"", ""Farmer""]","2026-03-11 22:53:56.715535+05:30"
225,"wbcism","Weather Based Crop Insurance Scheme","The scheme aims to provide crop insurance protection to farmers against weather-related risks under the Pradhan Mantri Fasal Bima Yojana. It ensures financial support to farmers affected by adverse weather conditions.","[""Madhya Pradesh""]","State","Individual","None","[""Crop Insurance"", ""Weather Risk"", ""Farmer""]","2026-03-11 22:53:56.715538+05:30"
226,"as-smp","Annapurna Scheme: Seed Multiplication Programme","The scheme aims to enhance the economic status and productivity of SC/ST farmers by providing high-quality Breeder or Certified I grade seeds for seed production. Beneficiaries receive a 75% subsidy on the cost of the seed for up to 1 hectare of land.","[""Madhya Pradesh""]","State","Individual","None","[""Agriculture"", ""Seed"", ""Farmer"", ""Subsidy"", ""Crop""]","2026-03-11 22:53:56.71554+05:30"
227,"sfppcchc","Scheme for Promotion of Protected Cultivation of Commercial Horticultural Crops","The scheme aims to promote the protected cultivation of commercial horticultural crops by providing financial assistance to farmers. The scheme supports greenhouse, shade net, low tunnel, plastic mulching, bird/hail net, and cultivation of vegetables and flowers under polyhouse/shade net house.","[""Madhya Pradesh""]","State","Individual","None","[""Protected Cultivation"", ""Greenhouse"", ""Shade Net"", ""Polyhouse"", ""Plastic Mulching"", ""Horticulture""]","2026-03-11 22:53:56.715542+05:30"
228,"ivdp","Integrated Vegetable Development Program","The scheme aims to increase vegetable production in all district headquarters and within a 20 km radius of industrial establishments in Madhya Pradesh through integrated vegetable development.","[""Madhya Pradesh""]","State","Individual","None","[""Vegetable Production"", ""Hybrid Seeds"", ""Seed Treatment""]","2026-03-11 22:53:56.715545+05:30"
229,"ggy-goa","Gomantak Govsamvardhan Yojana","The scheme aims to support the conservation and rearing of Local Breeds of Cattle in the State of Goa. It provides financial assistance of ₹80/- per animal per day to Dairy Farmers or Individuals who are bonafide residents of Goa to encourage responsible stall feeding and conservation practices.","[""Goa""]","State","Individual","None","[""Cattle"", ""Farmer"", ""Subsidy"", ""Animal"", ""Vaccination""]","2026-03-11 22:53:56.715547+05:30"
230,"sephp","Simplification of Sale Process of Herbal Products - Herbal Research and Development Institute, Uttarakhand","The scheme aims to simplify the sale process of medicinal and aromatic products produced by cultivators, enabling them to legally and easily sell their produce through authorized markets or buyers.","[""Uttarakhand""]","State","Individual","None","[""Herbal Products"", ""Herbs"", ""Marketing"", ""Cultivator Of Medicinal Plants"", ""Cultivator Of Aromatic Plants"", ""Sale Process""]","2026-03-11 22:53:56.715549+05:30"
231,"capmgnrega","Cultivation of Aromatic Plants under MGNREGA - Centre for Aromatic Plants","The scheme aims to encourage farmers in rural areas to grow aromatic plants by providing them free planting material, technical help, and wage support through MGNREGA.","[""Uttarakhand""]","State","Individual","None","[""Aromatic"", ""Farmer"", ""Aromatic Plants"", ""Cultivation"", ""MGNREGA""]","2026-03-11 22:53:56.715552+05:30"
232,"bk","Bee Keeping","The scheme aims to promote beekeeping as a sustainable livelihood by providing subsidized bee boxes, bee colonies, and training support to farmers, thereby increasing honey production, enhancing farm income, and strengthening the beekeeping sector in Uttarakhand.","[""Uttarakhand""]","State","Individual","None","[""Bee"", ""Bee Colonies"", ""Bee Boxes"", ""Subsidy"", ""Honey Bees""]","2026-03-11 22:53:58.18532+05:30"
233,"stscss","Scheduled Tribe/Scheduled Caste Subplan","The scheme aims to promote fish farming as a sustainable livelihood opportunity among individuals and groups belonging to the Scheduled Castes and Scheduled Tribes.","[""Uttarakhand""]","State","Individual","None","[""Financial Assistance"", ""Construction Of Ponds"", ""Fish Production"", ""Scheduled Tribe"", ""Scheduled Tribe"", ""Pond Clusters""]","2026-03-11 22:53:58.185332+05:30"
234,"sfpk","Sthaniya Fasal Protsahan Karyakram","The program aims to promote the cultivation of local crops, enhance productivity, ensure the use of quality seeds, and provide fair prices to farmers in the mountain districts of Uttarakhand.","[""Uttarakhand""]","State","Individual","None","[""Farmer"", ""Local Crop"", ""Agriculture"", ""Seed Production"", ""Subsidy On Seed"", ""Crop Promotion Program""]","2026-03-11 22:53:58.185335+05:30"
235,"ssrppes","Sugarcane Seed Replacement Programme / Production Enhancement Scheme","The scheme aims to increase sugarcane productivity & improve sugar recovery by promoting cultivation of high-quality, high-yielding, & newly developed sugarcane varieties, while providing farmers with financial support, modern cultivation techniques, & access to advanced agricultural technology.","[""Uttarakhand""]","State","Individual","None","[""Sugarcane"", ""Sugar"", ""Sugarcane Seed"", ""Farmer"", ""Sugarcane Seed Replacement""]","2026-03-11 22:53:58.185337+05:30"
236,"bpy","Bhed Palan Yojana","The scheme aims to promote sheep rearing as a source of self-employment and livelihood generation for eligible beneficiaries, particularly from SECC categories, by providing financial support for rearing a sheep unit.","[""Uttarakhand""]","State","Individual","None","[""Sheep Rearing"", ""Sheep"", ""Scheduled Caste"", ""Scheduled Tribe"", ""Self-employment"", ""Subsidy""]","2026-03-11 22:53:58.185339+05:30"
237,"ahsmfuk","Animal Husbandry: Assistance to Small and Marginal Farmers","The scheme aims to provide financial assistance to small and marginal farmers for the replacement of productive livestock lost due to notified natural disasters such as floods, landslides, or other calamities.","[""Uttarakhand""]","State","Individual","None","[""Small Farmer"", ""Marginal Farmer"", ""Natural Disaster"", ""Livestock"", ""Animal Husbandry""]","2026-03-11 22:53:58.185342+05:30"
238,"fsf","Mushroom Production","The scheme aims to promote and support mushroom cultivation in the state by providing financial assistance and subsidies for establishing mushroom, compost, and spawn production units, thereby enhancing both farmer income and overall mushroom production in Uttarakhand.","[""Uttarakhand""]","State","Individual","None","[""Mushroom"", ""Subsidy"", ""Farmer""]","2026-03-11 22:53:58.185344+05:30"
239,"sfguk","Scheme for Fencing in Gardens","The scheme aims to protect fruit plants, horticultural crops, and orchards from wild animals by providing financial assistance for fencing.","[""Uttarakhand""]","State","Individual","None","[""Fencing"", ""Garden"", ""Subsidy""]","2026-03-11 22:53:58.185346+05:30"
240,"ifspiftfcguj","To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Fish Cage Culture - Gujarat","The scheme aims to increase fish production and provide employment through reservoir-based inland fisheries. It offers financial assistance to Scheduled Tribe fishermen.","[""Gujarat""]","State","Individual","None","[""Fish"", ""Fish Activities"", ""Fish Production"", ""Scheduled Tribes"", ""Fishermen"", ""Fish Cage Culture""]","2026-03-11 22:53:58.185348+05:30"
